ID,Usuario,Texto,Seguidores,Siguiendo,Favoritos Cuenta,RTs,Favoritos Tweet,Fecha,Localizacion
ID,Usuario,Texto,Seguidores,Siguiendo,Favoritos Cuenta,RTs,Favoritos Tweet,Fecha,Localizacion
3163692815,castro20081960,RT @Jamon_Lovers: ¿Conocéis el Confeti de Jamón y de #chorizo? ¿No? Pues no te pierdas este post 😉 https://t.co/XV3agCT9v6 @MartinezSomalo…,67,205,4,4,0,2018-04-30 17:11:44,
3163692815,castro20081960,RT @EligetuIberico: El nuevo acuerdo de comercio entre la UE y México elimina los aranceles del 10% para las exportaciones de porcino. Espa…,67,205,4,4,0,2018-04-30 17:10:32,
3163692815,castro20081960,RT @M_LopezOrtega: Todavía sigo emocionada por este precioso gesto de Antonio Canelo y el Ayuntamiento de Gerena durante el Concurso de Cor…,67,205,4,2,0,2018-04-30 17:09:59,
3163692815,castro20081960,RT @MencasGourmet: Te has preguntado alguna vez por qué aparecen puntitos blancos en el #JamónIbérico??? 🐷 Se llama #Tirosina y en este int…,67,205,4,1,0,2018-04-30 17:07:59,
404399073,DeEnriqueTomas,Si un #jamón no está bien curado ¡es carne cruda! aprende a distinguirlo con estos consejos 😅💡https://t.co/CswW1Tr4h3,2820,757,1764,0,2,2018-04-30 17:01:25,Nuestro Jamón no tiene límites
2160589933,AytoJerezCros,RT @Extremadura_tur: Saborea el mejor #jamón del mundo en el XXIX Salón del Jamón Ibérico en Jerez de los Caballeros del 3 al 6 de mayo. 😋…,987,7,363,30,0,2018-04-30 16:57:10,Jerez de los Caballeros
920319504692994048,HamBot2,RT @latavina: Con la ración de #jamón ibérico siempre se acierta. Lo difícil es elegir con que acompañarlo de nuestra carta de vinos ;-) #r…,47,1,0,1,0,2018-04-30 16:32:04,
2330374417,IbericosCOVAP,¡Es temporada de #Esparragos! ¡A por ellos! ¿Se os ocurre alguna forma mejor que está para disfrutarlos?… https://t.co/4bFSxjWK2S,2411,934,2249,2,4,2018-04-30 16:00:11,Pozoblanco (Córdoba)
712814773,latavina,Con la ración de #jamón ibérico siempre se acierta. Lo difícil es elegir con que acompañarlo de nuestra carta de vi… https://t.co/Z34cNBywVJ,3560,2309,4839,1,3,2018-04-30 15:55:11,Logroño-La Rioja-España
841710728017002497,Ainhoa_casi,RT @Extremadura_tur: Saborea el mejor #jamón del mundo en el XXIX Salón del Jamón Ibérico en Jerez de los Caballeros del 3 al 6 de mayo. 😋…,1612,710,589,30,0,2018-04-30 15:53:12,Abulense de pura cepa
1569323839,BeatrizFernnd,"RT @QueridasFashion: Último fin de semana de #abril para vivir @GastroPatios 👏🌹 #Gastropatios2018 
Son 5 #patios y 5 Productos #gastro en #…",5652,2317,63500,45,0,2018-04-30 15:32:57,La Coruña
920319504692994048,HamBot2,RT @AsadorDublin: Jamon Iberico De Bellota Reserva Aged for +36 months #asadordublin #jamoniberico #foodie https://t.co/GkPUKzrgSX,47,1,0,1,0,2018-04-30 15:32:04,
905793908332011520,distdeleca,"Nuestro maravilloso equipo de trabajo les desea un ¡Excelente comienzo de semana!
#FelizDia… https://t.co/e0tofMWSwa",29,155,90,0,0,2018-04-30 15:29:23,cagua
846849177711775744,Embutidomallorc,"¡Feliz lunes!💪🏻🥓

✅Iniciamos la semana con unas deliciosas tostadas envueltas en tocineta #Mallorca

👆🏻Todo un plac… https://t.co/01Qe0YqipL",205,893,1704,0,1,2018-04-30 15:19:20,"Caracas, Venezuela"
2875294445,LaAguja_es,Un buen #ibérico es el entrante perfecto en toda celebración que se precie. En la carta de #LaAguja encontrarás los… https://t.co/ih8N7fMvz9,2309,2348,1740,0,0,2018-04-30 15:00:03,Madrid - Las Tablas
906179965,AsadorDublin,Jamon Iberico De Bellota Reserva Aged for +36 months #asadordublin #jamoniberico #foodie https://t.co/GkPUKzrgSX,3081,1527,1411,1,6,2018-04-30 14:52:41,"Haddington Road, Dublin 4"
754774852414865408,TheGuardianCBcn,"Retweeted Grup Olivé (@Grup_Olive):

Siempre luce y nunca desmerece... cortado a mano de una pieza de calidad supre… https://t.co/bNeWNAqm9u",338,1719,337,0,1,2018-04-30 14:41:08,"Barcelona, Catalunya"
754774852414865408,TheGuardianCBcn,RT @Grup_Olive: Siempre luce y nunca desmerece... cortado a mano de una pieza de calidad suprema... acierta con casi todos por igual... ¡be…,338,1719,337,1,0,2018-04-30 14:41:06,"Barcelona, Catalunya"
3431057367,tapitasypostres,"Un guiso de #habichuelasverdes con #jamón. Sano y rico.
https://t.co/9SZCMKd3Sz https://t.co/ieOqTbmqxF",1832,220,1220,0,1,2018-04-30 14:07:14,"Málaga, Andalucía"
